date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw
2016-01-01,Z300ZST1,ST4000DM000,1.976651427858e-311,0,120,240872800,,,91,0,100,10,100,0,84,1.40093566e-315,,,81,16684,100,0,,,100,10,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,5e-324,81.0,19.0,76.0,24.0,100.0,0.0,100.0,1.0,91.0,18087.0,24.0,24.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,8.2064e-320,100.0,1.1464063303e-313,100.0,9.784107432e-313,,,,,,,,
2016-01-01,9VY8TCAV,ST3160318AS,7.9071197618e-313,0,111,38605541,,,97,0,100,32,100,0,87,2.84513324e-315,,,50,44519,100,0,,,100,16,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,2.27e-322,100.0,0.0,75.0,25.0,,,,,,,25.0,25.0,47.0,38605541.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,1.3500986022639e-309,100.0,2.00416989e-314,100.0,2.07641741e-314,,,,,,,,
2016-01-01,W300BG0H,ST4000DM000,1.976651427858e-311,0,118,190147064,,,91,0,100,10,100,0,87,2.87802151e-315,,,77,20266,100,0,,,100,10,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,97.0,3.0,81.0,19.0,100.0,0.0,100.0,2.0,96.0,9220.0,19.0,19.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,7.8575382153642e-310,100.0,1.24965886766e-313,100.0,6.3944430374e-313,,,,,,,,
2016-01-01,W300J6FX,ST4000DM000,1.976651427858e-311,0,115,85258376,,,92,0,100,8,100,0,87,2.72189893e-315,,,77,20272,100,0,,,100,8,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,5.0,97.0,6743.0,19.0,19.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,1.0002e-319,100.0,1.32443765264e-313,100.0,6.0403969184e-313,,,,,,,,
2016-01-01,Z3014A4S,ST4000DM000,1.976651427858e-311,0,116,101976792,,,91,0,100,9,100,0,84,1.50274292e-315,,,81,16919,100,0,,,100,9,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,90.0,10.0,67.0,33.0,100.0,0.0,100.0,1.0,99.0,2804.0,33.0,33.0,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100.0,8.351e-320,100.0,1.06303477755e-313,100.0,1.019657134324e-312,,,,,,,,
2016-01-01,Z4D045CF,ST6000DX000,2.9649744644415e-311,0,116,101694695,,,88,0,100,17,100,0,90,4.889797296e-315,,,86,12288,100,0,,,100,15,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,90.0,10.0,75.0,25.0,98.0,5060.0,100.0,0.0,98.0,4171.0,25.0,25.0,66.0,101694695.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,9.3314764913761e-310,100.0,1.26022899717e-313,100.0,1.17637670320926e-310,,,,,,,,
2016-01-01,Z4D04BH9,ST6000DX000,2.9649744644415e-311,0,115,93122944,,,89,0,100,9,100,0,77,1.50815937487e-313,,,93,6611,100,0,,,100,8,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,74.0,26.0,98.0,5637.0,100.0,0.0,98.0,5037.0,26.0,26.0,65.0,93122944.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,6.2513996033847e-311,100.0,1.56149027966e-313,100.0,3.3240077875e-314,,,,,,,,
2016-01-01,Z3013TQV,ST4000DM000,1.976651427858e-311,0,108,20319352,,,91,0,100,13,100,0,85,1.84671015e-315,,,80,17588,100,0,,,100,13,,,,,100.0,0.0,94.0,6.0,100.0,0.0,100.0,0.0,71.0,29.0,83.0,17.0,100.0,0.0,100.0,4.0,100.0,1325.0,17.0,17.0,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,6.081639945591e-311,100.0,1.12441306537e-313,100.0,1.042785489505e-312,,,,,,,,
2016-01-01,WD-WX11D84JN1EP,WDC WD60EFRX,2.9649744644415e-311,0,200,0,,,202,8875,100,7,200,0,100,0.0,,,88,9381,100,0,100.0,0.0,100,7,,,,,,,,,,,,0.0,,,,,,,200.0,0.0,200.0,490.0,125.0,27.0,,,200.0,0.0,200,0,100,0,200,0,100.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,
2016-01-01,W0Q26EE1,ST320LT007,1.581370405447e-312,0,118,177471776,,,98,0,100,13,100,0,87,2.616604723e-315,,,77,20573,100,0,,,100,13,,,,,,,100.0,0.0,100.0,0.0,100.0,7e-323,100.0,0.0,75.0,25.0,100.0,12.0,100.0,0.0,63.0,75394.0,25.0,25.0,51.0,177471776.0,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100.0,1.215903598346e-311,100.0,1.55522711e-314,100.0,8.23393493e-315,1.0,13579666.0,1.0,26548746.0,1.0,12207968.0,100.0,0.0
